oid	text	category
3	здравствуйте займ. тоже по частям можно оплатить? здесь можно? или нельзя	oplatit_zaim_chast
11	как позвонить вам?	info
16	здравствуйте, как можно частично погасить?	oplatit_zaim_chast
18	как можно оплатить проценты?	oplatit_zaim
19	здравствуйте как можно выкупить залог?	vikup_do_min_ostatka
22	Почему нельзя оплатить проценты?	oplatit_zaim
42	Здравствуйте, а вы принимаете серебро?	online_otsenka
54	не могу оплатить	oplatit_zaim
58	как мне оплатить часть тела залога	oplatit_zaim_chast
62	как узнать номер залогового билета?	nayti_bilet
63	здравствуйте , скажите пожалуйста моё кольцо не продали?	online_otsenka
65	здравствуйте.кольцо ушло?	online_otsenka
97	проценты	oplatit_zaim
105	здравствуйте как оплатить проценты	oplatit_zaim
123	Здравствуйте. До какого числа я могу оплатить проценты?	oplatit_zaim
125	здравствуйте где я могу его выкупить	vikup_do_min_ostatka
143	здравствуйте,не могу оплатить процент,почему ?	oplatit_zaim
153	здравствуйте.Как оплатить % частично	oplatit_zaim_chast
166	здравствуйте как выкупить кольцо	online_otsenka
182	я могу его оплатить добрый день	oplatit_zaim
183	481144 можно его оплатить	oplatit_zaim
210	спасибо большое за помощь	svyaz_operator
210	до какого числа у меня залоги ??	data_zaima
210	до какого числа у меня залог?	data_zaima
210	я уже оплатила . и у меня один билет	oplatit_zaim
214	здравствуйте как узнать номер залогового билета	nayti_bilet
238	не могу оплатить проценты	oplatit_zaim
240	как можно частично погасить	oplatit_zaim_chast
249	до какого числа нужно оплатить? здравствуйте	data_zaima
262	Здравствуйте. Хотела оплатить проценты	oplatit_zaim
267	До какого числа мне нужно оплатить проценты?	oplatit_zaim
267	можно ли продлить займ	oplatit_zaim
267	когда нужно выкупить билет?	vikup_do_min_ostatka
275	здравствуйте, могу я оплатить долг частично?	oplatit_zaim_chast
283	почему я не могу полностью оплатить?	vikup_do_min_ostatka
293	здравствуйте можно еще выкупить этот залог ?	vikup_do_min_ostatka
301	оно Еше не ушло в продажу?	online_otsenka
313	здравствуйте почему не доступна оплата процентов? СН068960	oplatit_zaim
321	можно ли оплатить часть процентов ?	oplatit_zaim
326	до 10.02.23 ещё можно будет выкупить?	vikup_do_min_ostatka
327	здравствуйте это еще можно выкупить	vikup_do_min_ostatka
332	здравствуйте, почему не могу оплатить проценты онлайн?	oplatit_zaim
335	nan оплатить	oplatit_zaim
341	могу ли я выкупить залог	vikup_do_min_ostatka
344	ЧО 369058 Ещё не продан?	online_otsenka
380	что будет если не оплатить проценты в срок?	oplatit_zaim
380	СО863201 как оплатить проценты	oplatit_zaim
383	здравствуйте, еще можно выкупить или уже нет ?	vikup_do_min_ostatka
389	здравствуйте я могу выкупить цепь nan	vikup_do_min_ostatka
394	как можно связаться с оператором	svyaz_operator
396	Здравствуйте! Могу ли я оплатить частями залог, если то как?	oplatit_zaim_chast
423	скажите, а серьги уже продали?	online_otsenka
432	почему оплата процентов не доступна ? СО146796	oplatit_zaim
438	здравствуйте! могу я забрать свой залог РР349697?	vikup_do_min_ostatka
445	Как оплатить частично	oplatit_zaim_chast
458	можно ещё выкупить?	vikup_do_min_ostatka
460	Доброе утро.Почему я не могу оплатить проценты?	oplatit_zaim
469	связаться с оператором	svyaz_operator
479	добрый вечер,а могу ли из залога выкупить одну только вещь?	vikup_do_min_ostatka
482	здравствуйте, могу ли я еще оплатить свой займ	oplatit_zaim
484	Здравствуйте! Не могу оплатить проценты!	oplatit_zaim
489	доброе утро. До какого числа мне нужно оплатить проценты ?	oplatit_zaim
489	завтра я могу оплатить проценты?	oplatit_zaim
493	Как можно продлить залог	oplatit_zaim
498	здравствуйте не могу оплатить , почему?	oplatit_zaim
499	здравствуйте, могу я оплатить проценты по залогу чо081152 через 5 дней.	oplatit_zaim
518	вы принимаете серебро?	online_otsenka
526	здравствуйте. могу ли я еще выкупить кольцо?	online_otsenka
532	здравствуйте принимаете ли серебро?	online_otsenka
535	номер горячий линий	info
543	здравствуйте! почему не доступна оплата? nan	oplatit_zaim
561	продлить займ	oplatit_zaim
570	здравствуйте! я могу половину процентов оплатить ?	oplatit_zaim_chast
570	до какого числа мне надо оплатить проценты ?	oplatit_zaim
581	здравствуйте. я ещё могу выкупить?	vikup_do_min_ostatka
584	как продлить залог ?	oplatit_zaim
589	Здравствуйте Скажите, можно ли оплатить половину процентов?	oplatit_zaim_chast
590	Не могу на сайте оплатить проценты	oplatit_zaim
598	почему нельзя заплатить процент ?	oplatit_zaim
607	здравствуйте, почему я не могу оплатить онлайн	oplatit_zaim
614	чо594877 до какого числа проценты надо оплатить?	oplatit_zaim
614	спасибо, всё оплачу	oplatit_zaim
618	как оплатить онлайн	oplatit_zaim
619	До какого числа мне нужно будет оплатить проценты?	oplatit_zaim
623	Сколько стоит грамм золота?	tsena_zolota
641	Оператор	svyaz_operator
646	здравствуйте,как оплатить проценты онлайн	oplatit_zaim
648	Здравствуйте. скажите пожалуйста, до какого числа могу оплатить %?	data_zaima
649	Какой последний день оплаты за займ ? По 2 займам	vikup_do_min_ostatka
649	я могу 5 числа оплатить или 4 край надо ?	data_zaima
668	здравствуйте как внести побольше сумму не только проценты ?	oplatit_zaim
681	здравствуйте могу ли я оплатить часть процентов?	oplatit_zaim
687	здравствуйте! как частично погасить проценты?	oplatit_zaim_chast
696	Дата оплаты процентов	oplatit_zaim
699	почему не могу оплатить проценты?	oplatit_zaim
711	как оплатить проценты	oplatit_zaim
