Iteration 0, Epoch 1, Loss: 2.8994572162628174, Accuracy: 9.375, Val Loss: 2.651153802871704, Val Accuracy: 24.399999618530273 
Iteration 100, Epoch 1, Loss: 0.5575830936431885, Accuracy: 83.16831970214844, Val Loss: 0.40701472759246826, Val Accuracy: 88.9000015258789 
Iteration 200, Epoch 1, Loss: 0.4335324764251709, Accuracy: 87.15018463134766, Val Loss: 0.4010036587715149, Val Accuracy: 87.4000015258789 
Iteration 300, Epoch 1, Loss: 0.35331815481185913, Accuracy: 89.49335479736328, Val Loss: 0.15301834046840668, Val Accuracy: 95.30000305175781 
Iteration 400, Epoch 1, Loss: 0.29866108298301697, Accuracy: 91.1237564086914, Val Loss: 0.17262256145477295, Val Accuracy: 94.19999694824219 
Iteration 500, Epoch 1, Loss: 0.2686309218406677, Accuracy: 92.02220153808594, Val Loss: 0.1554887890815735, Val Accuracy: 94.80000305175781 
Iteration 600, Epoch 1, Loss: 0.24326029419898987, Accuracy: 92.76985931396484, Val Loss: 0.16053517162799835, Val Accuracy: 95.0 
Iteration 700, Epoch 1, Loss: 0.22639493644237518, Accuracy: 93.25517272949219, Val Loss: 0.13320951163768768, Val Accuracy: 95.9000015258789 
Iteration 800, Epoch 2, Loss: 0.11361734569072723, Accuracy: 96.42857360839844, Val Loss: 0.10668341815471649, Val Accuracy: 96.9000015258789 
Iteration 900, Epoch 2, Loss: 0.10340508818626404, Accuracy: 96.95602416992188, Val Loss: 0.11254825443029404, Val Accuracy: 96.5 
Iteration 1000, Epoch 2, Loss: 0.09111698716878891, Accuracy: 97.18084716796875, Val Loss: 0.09367524087429047, Val Accuracy: 97.0 
Iteration 1100, Epoch 2, Loss: 0.08632484823465347, Accuracy: 97.34607696533203, Val Loss: 0.09660156071186066, Val Accuracy: 96.5999984741211 
Iteration 1200, Epoch 2, Loss: 0.0825764462351799, Accuracy: 97.48922729492188, Val Loss: 0.11925914883613586, Val Accuracy: 96.5999984741211 
Iteration 1300, Epoch 2, Loss: 0.08106683194637299, Accuracy: 97.53504180908203, Val Loss: 0.14414475858211517, Val Accuracy: 95.9000015258789 
Iteration 1400, Epoch 2, Loss: 0.08063848316669464, Accuracy: 97.5467529296875, Val Loss: 0.10718277096748352, Val Accuracy: 96.5 
Iteration 1500, Epoch 2, Loss: 0.08096779137849808, Accuracy: 97.53826141357422, Val Loss: 0.09825266152620316, Val Accuracy: 96.5 
Iteration 1600, Epoch 3, Loss: 0.06581443548202515, Accuracy: 97.73550415039062, Val Loss: 0.08985292911529541, Val Accuracy: 97.0 
Iteration 1700, Epoch 3, Loss: 0.06621033698320389, Accuracy: 97.88276672363281, Val Loss: 0.11330515891313553, Val Accuracy: 96.5999984741211 
